x_m,y_m,station_m,path_yaw_deg,curvature_1_per_m
107.80000000000001,0.32637911039999756,108.36618839531431,-6.64177805469029,0.02168593716376488
107.9,0.31484546939135505,108.46685132232776,-6.5164480028127105,0.021770343408911708
108.0,0.3035338271604944,108.56748905506234,-6.390686035124895,0.021846561867161052
108.10000000000001,0.292444795300002,108.66810200963383,-6.264539441737223,0.02191446099183403
108.2,0.2815789024395039,108.76869061548784,-6.138056212344263,0.021973909787069035
108.30000000000001,0.27093659320864083,108.86925531479017,-6.011285033929274,0.022024777873707935
108.4,0.2605182271999986,108.96979656179998,-5.884275288204004,0.022066935555648814
108.5,0.250324077932099,109.0703148222271,-5.757077048807128,0.02210025388181097
108.60000000000001,0.24035433181234378,109.17081057257354,-5.629741078282232,0.022124604706605655
108.7,0.2306090871000004,109.27128429946023,-5.502318824824719,0.022139860748937312
108.80000000000001,0.22108835286913586,109.37173649893987,-5.374862418816649,0.022145895649056835
108.9,0.21179204797160234,109.4721676757962,-5.247424669146571,0.022142584021653422
109.0,0.20271999999999835,109.57257834283112,-5.1200590593505995,0.02212980150599897
109.10000000000001,0.19387194425061693,109.67296902014006,-4.992819743561404,0.022107424815255683
109.2,0.18524752268641942,109.77334023437659,-4.865761542276822,0.022075331780403162
109.30000000000001,0.1768462829000006,109.87369251800756,-4.738939937985392,0.022033401390887164
109.4,0.1686676770765423,109.97402640855913,-4.612411070636139,0.021981513832902755
109.5,0.16071106095678944,110.07434244785533,-4.486231732978382,0.021919550522149056
109.60000000000001,0.15297569280000212,110.17464118124974,-4.36045936579438,0.021847394134270337
109.7,0.14546073234691526,110.27492315685159,-4.23515205301329,0.021764928631365532
109.80000000000001,0.13816523978271245,110.37518892474749,-4.110368516746548,0.02167203928121625
109.9,0.13108817469999967,110.47543903621967,-3.9861681122717685,0.02156861267478971
110.0,0.12422839506172778,110.57567404296225,-3.8626108229402667,0.02145453674046227
